source,target,commodity_code,weight
OH,PA,01,4162581.305908203
OH,RI,01,991986.2764892578
OH,SC,01,2695656.4702148438
OH,TN,01,560592.6135253906
OH,TX,01,13389526.596557617
OH,UT,01,1933539.4725952148
OH,VA,01,552825.0
OH,WA,01,232328.0
OH,WI,01,17687899.32940674
OK,AR,01,1515750.7032928467
OK,KS,01,1448560.7098083496
OK,LA,01,664245.4077758789
OK,MO,01,103082.99743652344
OK,NM,01,1246288.908493042
OK,TX,01,4005158.5948638916
PA,IN,01,3304795.6759910583
PA,MD,01,101973.19859313965
PA,MI,01,3436841.3459091187
PA,NJ,01,100142846.15490723
PA,NY,01,157334615.65316772
PA,OH,01,15809943.503658295
RI,CO,01,2532767.890625
RI,CT,01,6609220.296875
RI,DC,01,2330394.8579101562
RI,FL,01,20170629.754638672
RI,IL,01,16194603.318603516
RI,MD,01,2608507.1508789062
RI,MA,01,14419436.834228516
RI,NJ,01,8866459.520019531
RI,NY,01,126095574.96166992
RI,OH,01,5242522.454345703
RI,PA,01,22083760.158935547
SC,AL,01,8524639.925323486
SC,AR,01,42178.5
SC,FL,01,566748.091583252
SC,GA,01,8250034.243865967
SC,IN,01,3577764.5492248535
SC,KY,01,246050.5020751953
SC,NJ,01,63271.001892089844
SC,NC,01,15362079.801757812
SC,OH,01,1046157.8150024414
SC,TN,01,960878.8278808594
SC,TX,01,68792.00143432617
SC,VA,01,8025434.03414917
SD,AL,01,4300824.260540009
SD,AZ,01,5388786.224285126
SD,AR,01,23367407.338840485
SD,CA,01,31904335.211219788
SD,CO,01,8018458.5888671875
SD,FL,01,16808927.026626587
SD,GA,01,24461498.857192993
SD,ID,01,357312.80682373047
SD,IL,01,30954657.047943115
SD,IA,01,15418483.913093567
SD,KS,01,4242421.031044006
SD,KY,01,2818182.5493164062
SD,LA,01,3437712.570579529
SD,MI,01,29185655.5634346
SD,MN,01,10755550.14578247
SD,MO,01,921063.2261962891
SD,NE,01,1229747.2233886719
SD,NJ,01,12338029.622970581
SD,NC,01,68323244.19203186
SD,OH,01,4682560.0
SD,OK,01,7096173.181976318
SD,OR,01,1341571.5
SD,PA,01,36104629.68214798
SD,TX,01,67247952.47681808
SD,UT,01,6334040.575767517
SD,VA,01,28386402.35245514
SD,WA,01,3224928.4225616455
TN,IL,01,612116.9895172119
TN,KS,01,58349511.34714508
TN,MS,01,25667561.8959198
TN,MO,01,10332543.922538757
TN,OK,01,10757928.59779358
TN,SD,01,13820717.3805542
TN,TX,01,49236790.12088776
WI,IL,01,2681258.726196289
WI,IN,01,5756297.395019531
WI,IA,01,1663317.0
WI,MN,01,4136148.9479522705
WI,NE,01,686590.6120605469
AL,FL,02,4054500.5772037506
AL,GA,02,16785095.015431404
AL,IL,02,167953.49726200104
AL,LA,02,962137.9107484818
AL,MS,02,1397752.090174675
AL,NY,02,538193.2947301865
AL,NC,02,233377.1969718933
AL,OH,02,481260.9980649948
AL,TN,02,330560.9956741333
AL,TX,02,1702011.2584676743
AL,VA,02,691350.2111749649
AZ,CA,02,5364172.237640381
AZ,ID,02,8308034.710693359
AZ,NE,02,8436925.341430664
AZ,NM,02,326888.09045791626
AZ,TX,02,354871.9096984863
AR,AL,02,922538.4304199219
AR,CO,02,1797375.3939361572
AR,IN,02,3171209.581726074
AR,IA,02,2594637.804206848
AR,LA,02,237107559.267807
AR,MO,02,20824846.176498413
AR,NC,02,101206.8983001709
AR,TN,02,12608616.611765862
CA,AL,02,75484.49775695801
CA,AZ,02,5223559.713470459
CA,CO,02,8772834.697410583
CA,CT,02,545548.4982376099
CA,FL,02,46458160.4740448
CA,HI,02,747471.9770050049
CA,ID,02,15951348.700317383
CA,IL,02,7790180.765106201
CA,IN,02,834002.9821014404
CA,LA,02,6258853.913650513
CA,MN,02,131133.60571289062
CA,MS,02,8572865.570892334
CA,MO,02,4666852.867706299
CA,MT,02,688324.6804504395
CA,NV,02,26230037.45426941
CA,NY,02,1896518.0883789062
CA,NC,02,102491.9955444336
CA,OR,02,11439660.755683899
CA,PA,02,4327286.2294921875
CA,SC,02,389472.8085632324
CA,TX,02,9711071.007629395
CA,UT,02,1284038.0007324219
CA,WA,02,5662687.707221985
CA,WI,02,568814.791923523
CO,AZ,02,1453738.0
CO,CA,02,107114852.30596924
CO,GA,02,10471388.299346924
CO,ID,02,43639.6015625
CO,IL,02,262880.0
CO,KS,02,36321401.21724701
CO,LA,02,12586501.273651123
CO,MN,02,23154831.15574646
CO,MO,02,119607263.56121826
CO,NE,02,84569090.11972046
CO,NM,02,1378018.7723693848
CO,ND,02,26964351.243621826
CO,OR,02,8479742.97479248
CO,PA,02,26434484.645263672
