state_id,label,betweenness,eigenvector,out_degree,commodity_code,commodity_name
36,NY,0.1469387755102041,0.05401391749095145,0.045402367207848994,11,Natural Sands
37,NC,0.07918367346938776,0.036778307527742866,0.17008337189889375,11,Natural Sands
38,ND,0.0,0.007644907154334635,0.0,11,Natural Sands
39,OH,0.04938775510204082,0.04328288734939186,0.10680980358823967,11,Natural Sands
40,OK,0.10816326530612246,0.01993692351411792,0.11193689162194599,11,Natural Sands
41,OR,0.0,0.027915637210515272,0.0,11,Natural Sands
42,PA,0.022448979591836737,0.047386881078229796,0.028913104541628307,11,Natural Sands
44,RI,0.0,0.00789801091602641,0.02107314604270989,11,Natural Sands
45,SC,0.0024489795918367346,0.01945061115305352,0.06887478766905954,11,Natural Sands
46,SD,0.0,0.005932714167561056,4.657342712755228e-05,11,Natural Sands
47,TN,0.0,0.016898818404918185,0.01138289187847498,11,Natural Sands
48,TX,0.5285714285714286,0.07256979575299863,0.39693116696586855,11,Natural Sands
49,UT,0.0,0.016657850179397388,0.0,11,Natural Sands
50,VT,0.0,0.006436792903657132,0.0,11,Natural Sands
51,VA,0.0489795918367347,0.023900338750742153,0.10658562831090353,11,Natural Sands
53,WA,0.0163265306122449,0.023286705010763072,0.005920603017166806,11,Natural Sands
54,WV,0.0,0.012949371767095425,0.05007251685957616,11,Natural Sands
55,WI,0.036734693877551024,0.010734227286333997,0.8940048492262462,11,Natural Sands
56,WY,0.0,0.012157663730461815,0.0,11,Natural Sands
1,AL,0.4073581560283688,0.011856424198097045,1.0,12,Gravel and Crushed Stone
4,AZ,0.025709219858156027,0.0103359998127898,0.2236032503791637,12,Gravel and Crushed Stone
5,AR,0.12898936170212766,0.004959927568253214,0.620690835518218,12,Gravel and Crushed Stone
6,CA,0.17863475177304963,0.03105583352058272,0.11026969901571795,12,Gravel and Crushed Stone
8,CO,0.0199468085106383,0.003956503190129006,0.05538648128438201,12,Gravel and Crushed Stone
9,CT,0.16710992907801417,0.015364402621218787,0.07704977571785486,12,Gravel and Crushed Stone
10,DE,0.0,0.0264392592117065,0.0011576280503585764,12,Gravel and Crushed Stone
11,DC,0.0,0.0034194252218021394,0.0,12,Gravel and Crushed Stone
12,FL,0.0,0.039278508064058304,0.017005614147657087,12,Gravel and Crushed Stone
13,GA,0.18395390070921985,0.06642719615096354,0.33394529017798463,12,Gravel and Crushed Stone
16,ID,0.04033687943262411,0.009558883635561396,0.006625741347231614,12,Gravel and Crushed Stone
17,IL,0.23891843971631205,0.01583172757060939,0.41232086871374657,12,Gravel and Crushed Stone
18,IN,0.1622340425531915,0.012026178652711723,0.2687032014674904,12,Gravel and Crushed Stone
19,IA,0.08865248226950355,0.005254267034832245,0.7186778540253786,12,Gravel and Crushed Stone
20,KS,0.015070921985815602,0.018463637885658687,0.05923698747726509,12,Gravel and Crushed Stone
21,KY,0.050975177304964536,0.017203388714476176,0.36005037518636906,12,Gravel and Crushed Stone
22,LA,0.0,0.04488929129922826,0.0011533917450942115,12,Gravel and Crushed Stone
23,ME,0.0004432624113475177,0.003562812216797839,0.011025145690662623,12,Gravel and Crushed Stone
24,MD,0.04210992907801418,0.04425365475280846,0.08580900537243531,12,Gravel and Crushed Stone
25,MA,0.0975177304964539,0.015320926635212615,0.030986573198842016,12,Gravel and Crushed Stone
26,MI,0.026595744680851064,0.006416410308054631,0.3034069360024866,12,Gravel and Crushed Stone
27,MN,0.09485815602836879,0.05272097034937043,0.042963380571845476,12,Gravel and Crushed Stone
28,MS,0.020390070921985814,0.04481074284932269,0.00798097916166076,12,Gravel and Crushed Stone
29,MO,0.011081560283687944,0.02121950365102998,0.08853121582828187,12,Gravel and Crushed Stone
30,MT,0.0,0.0032020751736527645,0.06945510504251841,12,Gravel and Crushed Stone
31,NE,0.05319148936170213,0.006951888616377511,0.10796367659184627,12,Gravel and Crushed Stone
32,NV,0.0,0.00808490169885871,0.001953465908619177,12,Gravel and Crushed Stone
33,NH,0.020390070921985814,0.007013629752136769,0.012426136990690288,12,Gravel and Crushed Stone
34,NJ,0.12278368794326242,0.035948481090065945,0.09359149951424996,12,Gravel and Crushed Stone
35,NM,0.0,0.004151890013572286,0.001187411837003832,12,Gravel and Crushed Stone
36,NY,0.09086879432624113,0.04141049313050827,0.024213487219736148,12,Gravel and Crushed Stone
37,NC,0.23404255319148937,0.03726195340231622,0.46872897783361966,12,Gravel and Crushed Stone
38,ND,0.020390070921985814,0.030633710193667722,0.010467192326583621,12,Gravel and Crushed Stone
39,OH,0.137854609929078,0.01576504482696155,0.09057843005183791,12,Gravel and Crushed Stone
40,OK,0.02349290780141844,0.01076283159676681,0.17379991327065605,12,Gravel and Crushed Stone
41,OR,0.18484042553191488,0.03469065701982335,0.0548420838900579,12,Gravel and Crushed Stone
42,PA,0.3479609929078014,0.05538806696935452,0.4725817502986561,12,Gravel and Crushed Stone
44,RI,0.0,0.005819470687301552,0.0198043155254836,12,Gravel and Crushed Stone
45,SC,0.0,0.01367554851337872,0.016840714284752385,12,Gravel and Crushed Stone
46,SD,0.0,0.03155858539461697,0.002133071687683304,12,Gravel and Crushed Stone
47,TN,0.04299645390070922,0.015442553383069327,0.4971865163736446,12,Gravel and Crushed Stone
48,TX,0.20301418439716312,0.026234865807914197,0.14816969180174488,12,Gravel and Crushed Stone
49,UT,0.020390070921985814,0.009969061808336795,0.004081678392704218,12,Gravel and Crushed Stone
50,VT,0.0199468085106383,0.0037985370422645363,0.7436684040627846,12,Gravel and Crushed Stone
51,VA,0.050975177304964536,0.01803361919268267,0.22690970857014833,12,Gravel and Crushed Stone
53,WA,0.07890070921985816,0.023695863431278275,0.21650284617526766,12,Gravel and Crushed Stone
54,WV,0.019060283687943262,0.021726794373093668,0.06520525834919237,12,Gravel and Crushed Stone
55,WI,0.04654255319148936,0.009453400106180829,0.44771534463997303,12,Gravel and Crushed Stone
56,WY,0.0,0.004700201660544611,0.0,12,Gravel and Crushed Stone
1,AL,0.0016326530612244899,0.009261981314459078,0.17661750997068135,13,Nonmetallic Minerals
2,AK,0.0,0.005123236375414727,0.0,13,Nonmetallic Minerals
4,AZ,0.0,0.011668059757751863,0.019171172331664446,13,Nonmetallic Minerals
5,AR,0.0,0.013341285220338086,0.027350705700738685,13,Nonmetallic Minerals
6,CA,0.22653061224489796,0.06003776592177663,0.26336967613860746,13,Nonmetallic Minerals
