state_id,label,betweenness,eigenvector,out_degree,threshold,threshold_label
4,AZ,0.017551020408163268,0.011070894057870536,0.09692069619377594,2811123610.736374,threshold_3
5,AR,0.018367346938775512,0.00855238964420698,0.06261927518137879,2811123610.736374,threshold_3
6,CA,0.05510204081632653,0.07457386643582892,1.0,2811123610.736374,threshold_3
8,CO,0.04285714285714286,0.009502417932537791,0.06933874995542279,2811123610.736374,threshold_3
9,CT,0.044081632653061226,0.011809374023427254,0.16820642729790344,2811123610.736374,threshold_3
10,DE,0.004081632653061225,0.004157237794174691,0.0418677523486229,2811123610.736374,threshold_3
11,DC,0.0,0.005445196029873312,0.0,2811123610.736374,threshold_3
12,FL,0.015510204081632653,0.04473749586637086,0.19324601838853434,2811123610.736374,threshold_3
13,GA,0.03142857142857143,0.03950980422589726,0.4311128558560343,2811123610.736374,threshold_3
15,HI,0.0,0.004378545737165304,0.0,2811123610.736374,threshold_3
16,ID,0.01673469387755102,0.006282233539512216,0.017647961878299378,2811123610.736374,threshold_3
17,IL,0.11959183673469388,0.04569202852568637,0.7464932759287712,2811123610.736374,threshold_3
18,IN,0.014285714285714287,0.027498522903765723,0.4453745246979903,2811123610.736374,threshold_3
19,IA,0.04816326530612245,0.013004838052920888,0.17537860110184053,2811123610.736374,threshold_3
20,KS,0.019591836734693877,0.011166348371475862,0.12750890428499753,2811123610.736374,threshold_3
21,KY,0.013877551020408163,0.019165473104656734,0.25310160962811484,2811123610.736374,threshold_3
22,LA,0.020408163265306124,0.015984767151838976,0.14194952953551593,2811123610.736374,threshold_3
23,ME,0.00040816326530612246,0.004855503554396962,0.007365441449128118,2811123610.736374,threshold_3
24,MD,0.03142857142857143,0.01684068008829061,0.11257723199037772,2811123610.736374,threshold_3
25,MA,0.06938775510204082,0.02660638317225253,0.2311652266588933,2811123610.736374,threshold_3
26,MI,0.013061224489795919,0.029525120665833633,0.42292159917727845,2811123610.736374,threshold_3
27,MN,0.050204081632653066,0.01724936383810339,0.24124733536839646,2811123610.736374,threshold_3
28,MS,0.013469387755102041,0.0129090733877972,0.13679450660680273,2811123610.736374,threshold_3
29,MO,0.053469387755102044,0.018134779527235988,0.2841068486351411,2811123610.736374,threshold_3
30,MT,0.0,0.005252648687424008,0.0,2811123610.736374,threshold_3
31,NE,0.0020408163265306124,0.006783492955165986,0.04685141418330725,2811123610.736374,threshold_3
32,NV,0.012244897959183675,0.00889452826397521,0.03316422284111662,2811123610.736374,threshold_3
33,NH,0.0024489795918367346,0.007427940248612016,0.01865403794992035,2811123610.736374,threshold_3
34,NJ,0.020408163265306124,0.03341147552130965,0.4756417860271113,2811123610.736374,threshold_3
35,NM,0.0012244897959183673,0.006463048122243463,0.008022173881231399,2811123610.736374,threshold_3
36,NY,0.07877551020408163,0.05458396783613408,0.4747067459408986,2811123610.736374,threshold_3
37,NC,0.012244897959183675,0.02851494463629624,0.40052963079558496,2811123610.736374,threshold_3
38,ND,0.0,0.005093137827173008,0.017272484981968893,2811123610.736374,threshold_3
39,OH,0.0163265306122449,0.041680924802619965,0.5599977851227279,2811123610.736374,threshold_3
40,OK,0.0020408163265306124,0.013585824360889056,0.06429524879451719,2811123610.736374,threshold_3
41,OR,0.0036734693877551023,0.010640157922740364,0.09704117548621857,2811123610.736374,threshold_3
42,PA,0.02979591836734694,0.04266161067840718,0.6450167722254794,2811123610.736374,threshold_3
44,RI,0.0,0.004562182594813689,0.02900267929981267,2811123610.736374,threshold_3
45,SC,0.020816326530612245,0.019615650978949243,0.1941748323318478,2811123610.736374,threshold_3
46,SD,0.0020408163265306124,0.004160292044714043,0.010009493368127847,2811123610.736374,threshold_3
47,TN,0.004897959183673469,0.03277719701074073,0.4392761830993967,2811123610.736374,threshold_3
48,TX,0.08612244897959184,0.08494481395413807,0.7540086795838096,2811123610.736374,threshold_3
49,UT,0.017142857142857144,0.009415049388843442,0.08538082623043382,2811123610.736374,threshold_3
50,VT,0.0016326530612244899,0.004414240145496174,0.005646905666343034,2811123610.736374,threshold_3
51,VA,0.045714285714285714,0.024581281571804118,0.20044871318157348,2811123610.736374,threshold_3
53,WA,0.08285714285714287,0.021770600436039077,0.2057377476190274,2811123610.736374,threshold_3
54,WV,0.0,0.006384078927405293,0.03249259369785204,2811123610.736374,threshold_3
55,WI,0.006122448979591837,0.018041035535505387,0.2912552725425572,2811123610.736374,threshold_3
56,WY,0.0,0.004092926354039397,0.0,2811123610.736374,threshold_3
