origin,destination,trade_value_usd
IL,IA,16332747054.239458
IL,KS,5623764743.553556
IL,KY,12527567781.867096
IL,LA,15967150246.21566
IL,ME,521322101.6907692
IL,MD,5477297764.310776
IL,MA,3787356093.245071
IL,MI,34929718930.523796
IL,MN,14272568424.754475
IL,MS,3160717452.5300417
IL,MO,21447171004.397446
IL,MT,2329208464.779888
IL,NE,4804707757.965771
IL,NV,3003611564.68909
IL,NH,1586731284.2311668
IL,NJ,6664263071.038627
IL,NM,954816872.4850397
IL,NY,12066272485.99207
IL,NC,8259022913.79217
IL,ND,4106053813.6968474
IL,OH,25784082169.00279
IL,OK,2889839889.938539
IL,OR,1955754921.3113303
IL,PA,12553675726.829256
IL,RI,410379194.7502537
IL,SC,3194592527.3552685
IL,SD,1476098822.7109175
IL,TN,9888788774.153898
IL,TX,28962027727.077946
IL,UT,2024092959.557869
IL,VT,495214158.9479523
IL,VA,9970398843.797295
IL,RoW,67596108178.97964
IL,WA,5125882273.859491
IL,WV,745941521.8991508
IL,WI,48042509009.23053
IL,WY,744737494.5219145
IN,AL,4276494227.4760437
IN,AK,275651026.12418556
IN,AZ,2260976322.752448
IN,AR,1784105039.0480433
IN,CA,12240435831.315369
IN,CO,2100046154.4222794
IN,CT,1634507134.6601043
IN,DE,1055921083.468113
IN,DC,132947388.375206
IN,FL,11827595937.619953
IN,GA,12713908987.574663
IN,HI,233699801.57517052
IN,ID,363650248.44285107
IN,IL,32568479097.883682
IN,IA,5699117785.226304
IN,KS,1723449292.9155178
IN,KY,17347665661.291306
IN,LA,3356554154.1228075
IN,ME,372658380.9077873
IN,MD,3890972780.2612925
IN,MA,2657869010.2990217
IN,MI,34790657497.990654
IN,MN,4555357723.183821
IN,MS,2157987737.375987
IN,MO,6935615335.055012
IN,MT,426288995.2000828
IN,NE,1598227616.741478
IN,NV,729757359.9203558
IN,NH,972527975.9969234
IN,NJ,4248968709.4819107
IN,NM,430117704.0782385
IN,NY,9864643729.67852
IN,NC,8700429716.970055
IN,ND,1271203705.6363068
IN,OH,36147817961.509346
IN,OK,1811431366.278314
IN,OR,1169846541.4914894
IN,PA,8483192533.616688
IN,RI,376823173.697773
IN,SC,3460719678.786461
IN,SD,423891038.43585014
IN,TN,8845763871.2309
IN,TX,21875901213.85198
IN,UT,908586033.5402346
IN,VT,226707435.55210495
IN,VA,3800204757.1460524
IN,RoW,40960398216.66211
IN,WA,2544262431.3310637
IN,WV,1689109181.052
IN,WI,8335836390.614783
IN,WY,190123191.8898735
KS,AL,576572940.9648628
KS,AK,384912959.1194782
KS,AZ,1131366105.0368128
KS,AR,1307936365.7746582
KS,CA,6969596188.993153
KS,CO,3930945105.0053415
KS,CT,369358034.67573667
KS,DE,115637775.33538437
KS,DC,27996982.271686554
KS,FL,4282464573.7936797
KS,GA,3854182553.5494423
KS,HI,40367645.89993191
KS,ID,408614231.9943485
KS,IL,8050274742.917628
KS,IN,1724341450.0669441
KS,IA,3276231032.1854906
KS,KY,781708044.3601766
KS,LA,1402334966.2108526
KS,ME,170596862.9122591
KS,MD,1122307120.0529032
KS,MA,1054166783.1055851
KS,MI,2419201535.362694
KS,MN,1967001633.887113
KS,MS,685486332.8316045
KS,MO,14970552465.043844
KS,MT,348465460.88151026
KS,NE,5002656700.035152
KS,NV,410723793.0609498
KS,NH,114082763.41598988
KS,NJ,1704790289.8904366
